Mes;Nom mes;Any;Nom_RP;Codi_RP;Nom_ABP;Títol Codi Penal;Tipus de fet;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;De les lesions;Lesions;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Apropiació indeguda;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Danys;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Estafes;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Furt;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Ocupació immobles;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Receptació i altres conductes afins;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb força interior vehicle;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori amb violència i/o intimidació;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Robatori i furt d'us de vehicle;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Blanqueig de capitals;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra el patrimoni i contra l’ordre socioeconòmic;Defraudacions de fluid elèctric i anàlogues;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra l’honor;Injúria;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Descobriment i revelació de secrets;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili;Entrada a domicili aliè;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra la llibertat;Amenaces;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra la llibertat;Coaccions;;;;;;;;
2;febrer;2021; Girona;RP01;Alt Empordà - Roses;Delictes contra la llibertat i la indemnitat sexuals;Agressions sexuals;;;;;;;;
